Feature,TargetFeature,SHAPValue,LogSHAPValue
TCOF1,NIBAN2,0.0133593834874699,-4.315536258085866
ABLIM1,NIBAN2,0.016950125261708,-4.077480055111716
EIF4B,NIBAN2,0.0065349396188346,-5.030592171606695
MAP1S,NIBAN2,0.0634608683609153,-2.7573318093260757
MDC1,NIBAN2,0.005063125161273,-5.285771365527056
PCBP2,NIBAN2,0.0029326320115626,-5.831854961719227
BRD8,NIBAN2,0.0039877939070275,-5.524517106495872
PLEC,NIBAN2,0.0119374671687584,-4.428073323440147
NOLC1,NIBAN2,0.009965494335143,-4.608626719408485
MINK1,NIBAN2,0.0102528908067687,-4.5801955832320305
SYNPO,NIBAN2,0.0287583834884302,-3.548825954648105
BAG3,CAMKK1,0.0117890477549859,-4.4405843348714695
EIF4B,CAMKK1,0.0012536301572799,-6.681711810670735
MAP1S,CAMKK1,0.0215049505632818,-3.839472111596706
MDC1,CAMKK1,0.003236138195557,-5.733374575025009
ABLIM1,CAMKK1,0.0077106712628763,-4.865150031269855
ADAR,CAMKK1,0.0137606486757232,-4.2859423054570485
CALD1,CAMKK1,0.0233347548249391,-3.757811406387682
PLEKHA6,CAMKK1,0.0024161462806892,-6.025581454099562
KMT2D,CAMKK1,0.0037193685500177,-5.594201369724228
HUWE1,PDCL,0.0158421194573465,-4.145083097421421
KMT2D,PDCL,0.0015941903547724,-6.4413892861879765
TCOF1,PDCL,0.0061987168922536,-5.0834129612111125
MDC1,PDCL,0.0231251516859068,-3.7668344362145967
GPATCH8,PDCL,0.0104838638699461,-4.557917978158301
ATXN2L,PDCL,0.007403869260882,-4.9057525423303545
SRRM2,PDCL,0.0101460591822129,-4.590669906796017
PRRC2C,PDCL,0.0027092146611429,-5.911096479024813
HUWE1,FAM53B,0.0046980788034995,-5.36060161904627
GPATCH8,FAM53B,0.0092210857044922,-4.6862624929783365
AHNAK2,FAM53B,0.0036312642284326,-5.618174419042614
KMT2D,FAM53B,0.0503071085857439,-2.9896088880894625
BAG3,FAM53B,0.0092358050504317,-4.684667495288262
MAP1S,FAM53B,0.0034816236966795,-5.660256514504522
ABLIM1,FAM53B,0.0224920092882569,-3.7945951755940195
NCL,FAM53B,0.0065409735915639,-5.029669257381048
CDC42BPA,FAM53B,0.0161574885033111,-4.125371652366322
KMT2D,TRIM24,0.0296495044943717,-3.5183098655036216
MDC1,TRIM24,0.0191518837635071,-3.9553541993418344
NEB,TRIM24,0.0030659012163924,-5.787413718101657
NUMA1,TRIM24,0.0382585193210387,-3.2633890161622285
LARP1,TRIM24,0.0068193618561042,-4.987989380990851
SRRM2,TRIM24,0.0179231445946181,-4.021662407219713
AHCTF1,TRIM24,0.0094377158746667,-4.663041290531734
FARP1,TRIM24,0.0034240236683211,-5.676938908249576
PPIG,RBM15,0.0010604724270861,-6.849040784216353
USP24,RBM15,0.007804578736737,-4.8530446999836
CAST,RBM15,0.0052033909506237,-5.258444760034238
NCL,RBM15,0.00905497402541,-4.70444105618649
SCAF11,RBM15,0.011615083730967,-4.4554507039207465
DMD,RBM15,0.0070329493832637,-4.957149118715611
MAP4K4,RBM15,0.0077522630389027,-4.859770473222346
NOLC1,RBM15,0.0720259747099764,-2.6307284651634903
SEC16A,RBM15,0.0168021570945385,-4.086248002330869
SERBP1,RBM15,0.0046695804096663,-5.366686059375103
AHNAK2,HAUS6,0.0046939990253503,-5.361470389190672
MDC1,HAUS6,0.0413672492520475,-3.185265792088876
KMT2D,HAUS6,0.0087046874524142,-4.743893610781726
SRRM2,HAUS6,0.0058686608571769,-5.138128804528488
NCOR2,HAUS6,0.0061920472107483,-5.0844895182489225
ATXN2L,HAUS6,0.0036528715740636,-5.61224168807946
NIPBL,HAUS6,0.0183722747168939,-3.996912559609816
NUMA1,HAUS6,0.021741629660065,-3.828526438734001
FARP1,HAUS6,0.0044314569704252,-5.4190268617674775
CDC42BPA,HAUS6,0.0077920752550939,-4.854648054693945
SYNPO2L,BAIAP2L1,0.0340611106261623,-3.3795989963472692
AHNAK2,BAIAP2L1,0.006321548955796,-5.06379101291011
MDC1,BAIAP2L1,0.0039977992019052,-5.522011268801246
KMT2D,BAIAP2L1,0.0057177984640483,-5.164171431584892
PLEKHA6,BAIAP2L1,0.0213053609789166,-3.8487965487841445
NES,BAIAP2L1,0.0216553125773546,-3.8325044700002073
NHSL3,BAIAP2L1,0.0215099906596854,-3.839237769933862
RIF1,BAIAP2L1,0.0032355435981156,-5.733558328634049
PHLDB1,BAIAP2L1,0.0101454499310704,-4.590729956656211
MAP1S,BAIAP2L1,0.0221337007796469,-3.810653909815591
LMO7,TOP2B,0.0058541615424751,-5.14060249586341
NCOR1,TOP2B,0.0136854650854184,-4.2914209520163045
TCOF1,TOP2B,0.0102174230200462,-4.583660876682317
SRRM2,TOP2B,0.0095891665114859,-4.647121306117695
LARP1,TOP2B,0.0071580140402266,-4.9395227051668265
MAP4,TOP2B,0.0107601078895887,-4.53190969738532
PHLDB1,TOP2B,0.0312942061126349,-3.464322306793198
TP53BP1,TOP2B,0.123687181731812,-2.0899996287863862
TNS1,TOP2B,0.002047677809095,-6.1910489039587615
EIF4G1,TOP2B,0.0114851691629336,-4.466698713917452
