Feature,TargetFeature,FisherScore,MedianCoeff,MeanR2,MeanMSE,Coeff*R2
HNRNPM,BRAF,5.093406119907571,-0.0869461013266964,0.6226131631309251,0.0279478192411624,-0.0541337871689164
HUWE1,BRAF,8.19943129660708,0.3283468207354911,0.6226131631309251,0.0279478192411624,0.2044330526621069
IRS2,BRAF,4.781569782042247,0.07781240730735,0.6226131631309251,0.0279478192411624,0.0484470290444611
ITPRID2,BRAF,3.814308218209738,-0.0002709873987222,0.6226131631309251,0.0279478192411624,-0.000168720321487
KMT2A,BRAF,9.341559187379202,0.2930751307649805,0.6226131631309251,0.0279478192411624,0.182472434200594
KMT2D,BRAF,5.775101246552259,0.0883980665668615,0.6226131631309251,0.0279478192411624,0.0550377998398517
LARP1,BRAF,4.632155516214199,0.1942882422368147,0.6226131631309251,0.0279478192411624,0.1209664170582106
LMO7,BRAF,11.424187967267349,-0.018895248349494,0.6226131631309251,0.0279478192411624,-0.0117644303430229
LRRFIP2,BRAF,5.09672107593244,-0.2434534016761713,0.6226131631309251,0.0279478192411624,-0.1515772924925846
MAP4,BRAF,3.4055545810868946,0.3385735737762331,0.6226131631309251,0.0279478192411624,0.2108003637213621
MDC1,BRAF,5.6041765988819785,0.0684202275629725,0.6226131631309251,0.0279478192411624,0.04259933430512
MIA3,BRAF,3.387274251811029,0.1516246662355176,0.6226131631309251,0.0279478192411624,0.0944035130535664
MKI67,BRAF,7.124498638382198,-0.3087432376322497,0.6226131631309251,0.0279478192411624,-0.1922276037774979
MYCBP2,BRAF,6.832573673266998,-0.1853905670310443,0.6226131631309251,0.0279478192411624,-0.1154266073538343
MYH9,BRAF,3.595790292989113,-0.1084211082304148,0.6226131631309251,0.0279478192411624,-0.0675044091454989
NAV2,BRAF,3.471856917147655,-0.3497553505858168,0.6226131631309251,0.0279478192411624,-0.217762285150201
NCOR1,BRAF,10.812305909835578,-0.2682740860191011,0.6226131631309251,0.0279478192411624,-0.1670309772824104
NCOR2,BRAF,5.063579608031311,0.1731331603937179,0.6226131631309251,0.0279478192411624,0.1077949846355865
NELFE,BRAF,5.040673098127538,0.0134172105835737,0.6226131631309251,0.0279478192411624,0.0083537319218325
NES,BRAF,3.7623706557130574,0.2851016145210927,0.6226131631309251,0.0279478192411624,0.1775080180307112
NHSL3,BRAF,3.937413752392811,-0.0173247595886418,0.6226131631309251,0.0279478192411624,-0.0107866233679671
NIPBL,BRAF,4.219478071714125,-0.1188611057130049,0.6226131631309251,0.0279478192411624,-0.0740044890012133
NUMA1,BRAF,4.4408283494375365,-0.2159170416247186,0.6226131631309251,0.0279478192411624,-0.1344327922598376
NUP214,BRAF,3.908937873542129,-0.0490889466026046,0.6226131631309251,0.0279478192411624,-0.0305634243190127
PHLDB1,BRAF,3.369847697019736,-0.1238140174476436,0.6226131631309251,0.0279478192411624,-0.0770882370430249
PHRF1,BRAF,3.5418117114790344,0.1430008644590585,0.6226131631309251,0.0279478192411624,0.0890342205513111
PLEC,BRAF,5.286284015953128,0.0070123107676375,0.6226131631309251,0.0279478192411624,0.0043659569878958
PRRC2A,BRAF,5.843465351085683,-0.0981546659269088,0.6226131631309251,0.0279478192411624,-0.0611123870288119
PRRC2C,BRAF,5.30075631350945,0.0613488003023289,0.6226131631309251,0.0279478192411624,0.0381965706105204
RIF1,BRAF,3.762996324290032,0.0467992120277239,0.6226131631309251,0.0279478192411624,0.029137805432616
SIPA1L1,BRAF,8.665256814837067,-0.2444202617013355,0.6226131631309251,0.0279478192411624,-0.152179272271157
SLC4A7,BRAF,3.556088632300236,-0.3214324817858618,0.6226131631309251,0.0279478192411624,-0.2001280942177188
SPEN,BRAF,7.509674171255259,0.2243006390539346,0.6226131631309251,0.0279478192411624,0.1396525303736581
SRRM2,BRAF,5.265766302710041,0.3943411641814683,0.6226131631309251,0.0279478192411624,0.2455219995837554
SVIL,BRAF,4.444768568850915,-0.0825985832873359,0.6226131631309251,0.0279478192411624,-0.0514269652106614
TCOF1,BRAF,7.916434864891662,0.0603352502466776,0.6226131631309251,0.0279478192411624,0.0375655210043798
TJP1,BRAF,3.947832537206221,0.0164286896095924,0.6226131631309251,0.0279478192411624,0.0102287184039244
TRIM28,BRAF,3.3727823691463765,0.2604042350383427,0.6226131631309251,0.0279478192411624,0.1621311044699114
ZC3HAV1,BRAF,3.4557783449951134,-0.1351292576576445,0.6226131631309251,0.0279478192411624,-0.0841332545417598
SOS1,CAVIN3,11.838321335996332,0.4584678508594373,0.5330104603473256,0.0233893301698057,0.2443681602410377
SOS1,CCDC6,2.588638289382039,-0.2591118623458521,0.4326142628213825,0.0342403277831087,-0.1120954873170263
SOS1,CCDC86,3.2021442414755805,-0.2511208604835183,0.4661440031745902,0.033272631644373,-0.1170584831864349
BRAF,CEP89,15.900736167563736,-0.2499462098695182,0.35342169945901,0.0167542044523241,-0.0883364142654234
SOS1,CHAMP1,2.283100828481937,-0.3243655717562187,0.4038730120131677,0.0258193566828975,-0.1310025004585573
ERBB2,CHGB,16.27535487931123,-0.0010159390251734,0.0528727603589202,0.0294602963510023,-5.371550061727282e-05
EGFR,CKMT2,72.19911491870609,0.0886401971093081,0.4836271790833126,0.0364351267288365,0.0428688084813635
BRAF,CSDC2,9.688511623197916,-0.0467019789974777,0.3240231651972568,0.0174069652859028,-0.0151325230557385
BRAF,CXADR,26.701025266611897,-0.0316766723493057,0.2841138246001772,0.0307747239069247,-0.0089997805317679
ERBB2,DOCK2,45.55573833679458,-0.1935683564631745,0.3368248038120428,0.0363469072157287,-0.0651986236899283
ACTN2,EGFR,5.35549671944984,0.1607895221339701,0.3267456565333651,0.0386004228576664,0.0525372779733501
ADAR,EGFR,4.200122357347904,-0.0938380584042229,0.3267456565333651,0.0386004228576664,-0.030661178001104
ADNP,EGFR,3.4088505474832926,0.4222292950071515,0.3267456565333651,0.0386004228576664,0.1379615882047316
AHNAK2,EGFR,4.09870205235706,0.0738503658658057,0.3267456565333651,0.0386004228576664,0.0241302862800519
