PredictiveFeature,TargetFeature,FisherScore,MedianCoeff,MeanR2,MeanMSE,Coeff*R2
PLEC,IRS1,3.2138296074040023,0.0872590607143963,0.5140606195831684,0.0299562292164681,0.0448564468150879
PLEKHA5,IRS1,2.157277288503122,-0.1111772903680938,0.5140606195831684,0.0299562292164681,-0.0571518667702001
PLEKHO2,IRS1,1.630408387571369,0.0587805689950382,0.5140606195831684,0.0299562292164681,0.0302167757170405
PPIG,IRS1,2.656481679920628,0.16075634578813,0.5140606195831684,0.0299562292164681,0.0826385067177721
PRAG1,IRS1,1.4754537330330426,0.2184373688251321,0.5140606195831684,0.0299562292164681,0.1122900491583644
PRRC2A,IRS1,4.81480230148751,0.4650425627419175,0.5140606195831684,0.0299562292164681,0.2390600679356546
PRRC2C,IRS1,3.536595273461167,-0.0418566615336478,0.5140606195831684,0.0299562292164681,-0.02151686136167
RANBP3,IRS1,1.741658840736206,0.0831424655279883,0.5140606195831684,0.0299562292164681,0.0427402673429898
RASAL2,IRS1,1.426860359046115,0.0258718770457256,0.5140606195831684,0.0299562292164681,0.0132997131439053
RBM10,IRS1,1.4958807523432025,-0.1128550445235213,0.5140606195831684,0.0299562292164681,-0.0580143341108474
RIF1,IRS1,2.5775581455356305,-0.1261571979320435,0.5140606195831684,0.0299562292164681,-0.0648524473338227
RSL1D1,IRS1,1.4635640547529554,-0.0549154906360866,0.5140606195831684,0.0299562292164681,-0.0282298911411004
RTN4,IRS1,1.4247911883129996,-0.1246468918927453,0.5140606195831684,0.0299562292164681,-0.0640760584755009
SERBP1,IRS1,1.478634147288473,-0.0098797673829551,0.5140606195831684,0.0299562292164681,-0.0050787993422195
SON,IRS1,1.542282274186003,-0.0858378351223635,0.5140606195831684,0.0299562292164681,-0.04412585070668
SRGAP1,IRS1,1.640011896649628,-0.302791034033504,0.5140606195831684,0.0299562292164681,-0.1556529465594913
SRRM2,IRS1,3.1108423136230066,0.1384642709928527,0.5140606195831684,0.0299562292164681,0.0711790289367175
SVIL,IRS1,1.640959784515676,0.0743934964422849,0.5140606195831684,0.0299562292164681,0.0382427668740792
SYNPO,IRS1,1.636774320676316,0.0831272059556,0.5140606195831684,0.0299562292164681,0.0427324229977534
TCOF1,IRS1,4.920772983168545,-0.0092309796153981,0.5140606195831684,0.0299562292164681,-0.0047452831004511
THRAP3,IRS1,1.5574789287638902,-0.0485691374060363,0.5140606195831684,0.0299562292164681,-0.024967480867567
TJP1,IRS1,2.1532670172299064,-0.1344288953004734,0.5140606195831684,0.0299562292164681,-0.0691046012080422
TNS2,IRS1,1.4744458417222788,0.1016924765352273,0.5140606195831684,0.0299562292164681,0.0522760974946458
TRIM28,IRS1,2.3741023045124785,0.3880656091654492,0.5140606195831684,0.0299562292164681,0.1994892474865105
UBE4B,IRS1,1.580851827434993,-0.0354433122989324,0.5140606195831684,0.0299562292164681,-0.0182200110804689
USP10,IRS1,1.7908345563846155,0.098140886459022,0.5140606195831684,0.0299562292164681,0.0504503648995662
USP24,IRS1,2.4047667797985603,0.2582938655488213,0.5140606195831684,0.0299562292164681,0.1327787045585587
WIZ,IRS1,1.4479625518826558,-0.0681901291007068,0.5140606195831684,0.0299562292164681,-0.0350538600149656
XIRP1,IRS1,1.5267698229073416,0.1388568417554579,0.5140606195831684,0.0299562292164681,0.0713808341061727
GAB1,IRS2,1.9662776791483936,-0.0456713317615249,0.5908975607112982,0.0296539223208397,-0.0269870785323215
GAB1,IWS1,1.682813633814579,0.0621094196723359,0.7787986030468048,0.0152330793685194,0.0483707292768629
GAB1,KIAA1143,1.7810781435417296,-0.2420540085531816,0.5352725301272903,0.0335431649800648,-0.1295648615857142
GAB1,KPNA3,1.9165116191712628,0.0661631121666752,0.5217537266729669,0.0285231805379731,0.0345208503412443
MITF,KRI1,23.115612154968023,-0.1229863176747206,0.3248476359711542,0.0423372920950093,-0.0399518145534303
GAB1,KRT18,20.79433607452152,0.1331360985790837,0.5444115568249284,0.0480091419459975,0.0724808306970361
GAB1,LARP1,2.9057489069757776,0.1258388528951299,0.7182921141228531,0.020596827261648,0.0903890556848375
GAB1,LMNA,1.9020757592129325,0.1008562633748246,0.7996821521444447,0.0142957520348876,0.0806529537528267
GAB1,LMO7,2.684600504847438,0.1882325084525362,0.7351147897852732,0.0205461884438476,0.1383725008818408
RAF1,MAK16,25.244304064273177,-0.2095210646165324,0.3176574877347072,0.0269545889760682,-0.0665559350135889
GAB1,MAP1B,1.2962664992554662,-0.0141294456261911,0.7028764562123238,0.0162020755559716,-0.0099312546699819
ABLIM1,MAP2K2,2.6333168352875336,0.0681879606023065,0.6483829005773398,0.0242527772335894,0.0442119076797768
AHCTF1,MAP2K2,2.9400313250442736,-0.1602954377706854,0.6483829005773398,0.0242527772335894,-0.1039328208910714
AHNAK2,MAP2K2,4.727258197319968,-0.0907227376317027,0.6483829005773398,0.0242527772335894,-0.0588230717739603
ARHGEF2,MAP2K2,1.7258676971440852,0.0991343019218504,0.6483829005773398,0.0242527772335894,0.0642769862267991
ARID1B,MAP2K2,1.75846068633914,-0.2395600940008377,0.6483829005773398,0.0242527772335894,-0.1553266686108433
ASXL2,MAP2K2,2.277813336077448,0.2515847337152263,0.6483829005773398,0.0242527772335894,0.1631232393872561
ATG9A,MAP2K2,1.8021026343609483,0.1844768461687349,0.6483829005773398,0.0242527772335894,0.119611632608244
ATXN2L,MAP2K2,3.315719992346768,-0.0718691457639516,0.6483829005773398,0.0242527772335894,-0.0465987251924466
BAG3,MAP2K2,2.5432693640181125,-0.0249750173617864,0.6483829005773398,0.0242527772335894,-0.0161933741990045
CALD1,MAP2K2,1.990941365091531,-0.0267195033170212,0.6483829005773398,0.0242527772335894,-0.017324469062676
CDC42BPA,MAP2K2,2.9090371834427056,-0.0700117510261355,0.6483829005773398,0.0242527772335894,-0.0453944222048243
CHD4,MAP2K2,1.6880666248305534,-0.0995142322392453,0.6483829005773398,0.0242527772335894,-0.0645233265480089
CLASP1,MAP2K2,3.797740811813488,0.3639367923616632,0.6483829005773398,0.0242527772335894,0.2359703930582682
DPYSL2,MAP2K2,2.005253686537855,0.1355563896583516,0.6483829005773398,0.0242527772335894,0.0878924451184741
EIF4B,MAP2K2,2.642835017127809,0.090836532791668,0.6483829005773398,0.0242527772335894,0.0588968546098503
EIF4B,MAP2K2,2.5247231359825166,0.2259993191809808,0.6483829005773398,0.0242527772335894,0.1465340940990684
EIF4G1,MAP2K2,1.8695037107828048,0.0612434238690018,0.6483829005773398,0.0242527772335894,0.0397091888094709
GPATCH8,MAP2K2,4.663921603948732,-0.2748522020359177,0.6483829005773398,0.0242527772335894,-0.1782094679861173
HDGFL2,MAP2K2,2.0664798455892783,-0.1216108228171528,0.6483829005773398,0.0242527772335894,-0.0788503780397825
HUWE1,MAP2K2,6.569924375255939,0.1306693477460357,0.6483829005773398,0.0242527772335894,0.0847237707081237
IRS2,MAP2K2,3.498117574442602,0.0799876310253651,0.6483829005773398,0.0242527772335894,0.0518626122145363
KMT2D,MAP2K2,4.257839593929315,-0.0765704963371155,0.6483829005773398,0.0242527772335894,-0.0496470005137055
LMNA,MAP2K2,2.0403526861632515,-0.2571524706856487,0.6483829005773398,0.0242527772335894,-0.1667332648337902
LMO7,MAP2K2,8.220801477467884,-0.0514884828089064,0.6483829005773398,0.0242527772335894,-0.0333842518299652
MAP1S,MAP2K2,2.326186289259023,-0.196896364661398,0.6483829005773398,0.0242527772335894,-0.1276642360322908
MAP4,MAP2K2,2.2927820225501274,0.0215459721575283,0.6483829005773398,0.0242527772335894,0.0139700399232568
MAST4,MAP2K2,2.091742680808992,0.1644977507085448,0.6483829005773398,0.0242527772335894,0.1066575287428544
MDC1,MAP2K2,4.195377872088815,0.0681355812168269,0.6483829005773398,0.0242527772335894,0.0441779457818891
MIA2,MAP2K2,1.95395681094554,0.1951954390174999,0.6483829005773398,0.0242527772335894,0.1265613849296338
MYH3,MAP2K2,3.264439805362846,-0.3418251743542965,0.6483829005773398,0.0242527772335894,-0.2216335980381936
MYO9B,MAP2K2,1.7484248884846003,0.1738473183114345,0.6483829005773398,0.0242527772335894,0.11271962850436
NCL,MAP2K2,2.103748454152793,0.0429802000911856,0.6483829005773398,0.0242527772335894,0.0278676268025173
NCOR2,MAP2K2,3.4679150419167137,-0.2001453995686354,0.6483829005773398,0.0242527772335894,-0.1297708547095225
NES,MAP2K2,2.639465740257531,-0.0028367596671433,0.6483829005773398,0.0242527772335894,-0.0018393064612232
NHSL3,MAP2K2,3.0203246378286104,0.099027665329666,0.6483829005773398,0.0242527772335894,0.0642078448838509
